season,week,game,day,time,tm_off_bye,opp_off_bye,tm_btwn_gms,opp_btwn_gms,h_or_a,team,opp,tm_winning%,opp_winning%,tm_off_score_avg,tm_def_score_avg,tm_off_1stdwn_avg,tm_off_totyd_avg,tm_off_passy_avg,tm_cmp_avg,tm_pass_att_avg,tm_pass_td_avg,tm_pass_int_avg,tm_sacked_avg,tm_off_rushy_avg,tm_rush_att_avg,tm_rush_td_avg,tm_off_to_avg,tm_def_1std_avg,tm_def_totyd_avg,tm_def_passy_avg,tm_def_rushy_avg,tm_def_to_avg,tm_losing_streak,tm_winning_streak,tm_not_cover_streak,tm_cover_streak,tm_under_streak,tm_over_streak,opp_off_score_avg,opp_def_score_avg,opp_off_1stdwn_avg,opp_off_totyd_avg,opp_off_passy_avg,opp_cmp_avg,opp_pass_att_avg,opp_pass_td_avg,opp_pass_int_avg,opp_sacked_avg,opp_off_rushy_avg,opp_rush_att_avg,opp_rush_td_avg,opp_off_to_avg,opp_def_1std_avg,opp_def_totyd_avg,opp_def_passy_avg,opp_def_rushy_avg,opp_def_to_avg,opp_losing_streak,opp_winning_streak,opp_not_cover_streak,opp_cover_streak,opp_under_streak,opp_over_streak,result,team_score,opp_score,spread,spread_outcome,over/under,ou_result
2020,6,6,1,1,0,0,6,8,0,Buffalo Bills,Kansas City Chiefs,0.8,0.8,27.8,28.4,24.2,401.8,308.0,26.8,38.8,2.8,0.6,2.0,93.8,24.4,0.8,1.6,24.0,371.8,263.2,108.6,1.2,1.0,0.0,1.0,0.0,0.0,1.0,29.8,22.0,24.0,407.2,287.8,24.6,38.6,2.6,0.2,1.2,119.4,26.4,0.8,0.6,21.6,382.8,225.2,157.6,1.6,1.0,0.0,1.0,0.0,0.0,1.0,0,17.0,26.0,5.5,0,55.0,0
2020,6,6,0,1,0,0,7,7,0,Miami Dolphins,New York Jets,0.4,0.0,27.2,22.6,23.6,364.8,260.6,24.0,34.0,1.4,1.0,1.6,104.2,28.0,1.2,1.0,23.8,379.6,253.6,126.0,1.6,0.0,1.0,0.0,1.0,0.0,1.0,15.0,32.2,17.2,279.4,176.0,20.4,34.6,0.8,0.8,3.0,103.4,25.0,0.4,1.0,23.6,394.2,265.6,128.6,1.4,5.0,0.0,5.0,0.0,1.0,0.0,1,24.0,0.0,-10.0,1,46.0,0
2020,6,5,0,0,1,1,13,17,0,New England Patriots,Denver Broncos,0.5,0.25,24.25,23.0,26.0,396.0,216.25,20.5,32.0,0.75,1.25,1.75,179.75,35.0,1.75,1.75,20.75,349.0,233.75,115.25,2.0,1.0,0.0,1.0,0.0,1.0,0.0,20.5,24.5,19.0,306.75,214.25,21.25,35.5,1.5,1.5,3.25,92.5,24.5,0.75,2.0,20.0,365.25,256.25,109.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0,12.0,18.0,-7.0,0,43.5,0
2020,6,6,0,1,0,0,7,7,1,New York Jets,Miami Dolphins,0.0,0.4,15.0,32.2,17.2,279.4,176.0,20.4,34.6,0.8,0.8,3.0,103.4,25.0,0.4,1.0,23.6,394.2,265.6,128.6,1.4,5.0,0.0,5.0,0.0,1.0,0.0,27.2,22.6,23.6,364.8,260.6,24.0,34.0,1.4,1.0,1.6,104.2,28.0,1.2,1.0,23.8,379.6,253.6,126.0,1.6,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,24.0,10.0,0,46.0,0
2020,6,6,0,0,0,0,7,7,0,Indianapolis Colts,Cincinnati Bengals,0.6,0.3,25.2,17.6,21.0,349.8,244.0,22.2,31.6,0.8,1.0,1.0,105.8,29.8,0.8,1.0,16.4,266.0,179.6,86.4,1.8,1.0,0.0,1.0,0.0,0.0,1.0,20.4,25.2,22.6,332.4,229.8,27.0,41.4,1.2,0.6,4.4,102.6,26.4,0.6,1.4,22.2,387.6,228.6,159.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,31.0,27.0,-7.5,0,46.0,1
2020,6,5,0,0,0,0,5,7,0,Tennessee Titans,Houston Texans,1.0,0.2,30.5,22.5,24.25,377.25,245.75,22.75,33.0,2.25,0.25,1.0,131.5,34.0,1.25,0.25,23.5,409.25,261.0,148.25,2.25,0.0,4.0,0.0,1.0,0.0,3.0,22.0,28.0,19.2,359.2,274.6,21.8,32.6,1.8,1.0,3.4,84.6,20.4,0.6,1.4,24.4,387.4,227.0,160.4,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1,42.0,36.0,-4.0,1,52.0,1
2020,6,6,0,0,0,0,7,5,1,Houston Texans,Tennessee Titans,0.2,1.0,22.0,28.0,19.2,359.2,274.6,21.8,32.6,1.8,1.0,3.4,84.6,20.4,0.6,1.4,24.4,387.4,227.0,160.4,0.4,0.0,1.0,0.0,1.0,1.0,0.0,30.5,22.5,24.25,377.25,245.75,22.75,33.0,2.25,0.25,1.0,131.5,34.0,1.25,0.25,23.5,409.25,261.0,148.25,2.25,0.0,4.0,0.0,1.0,0.0,3.0,0,36.0,42.0,4.0,0,52.0,1
2020,6,6,0,0,0,1,7,14,0,Jacksonville Jaguars,Detroit Lions,0.2,0.25,21.8,29.4,23.2,366.4,268.0,27.4,39.2,2.0,0.8,3.4,98.4,21.4,0.6,1.4,25.0,416.8,280.2,136.6,1.0,4.0,0.0,3.0,0.0,1.0,0.0,24.75,31.75,21.0,334.0,232.25,20.75,34.25,2.0,0.75,3.0,101.75,24.75,0.75,0.75,27.25,405.0,234.75,170.25,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,16.0,34.0,3.0,0,52.5,0
2020,6,5,0,0,0,0,7,7,0,Pittsburgh Steelers,Cleveland Browns,1.0,0.8,29.5,21.75,22.0,378.25,239.5,25.0,35.75,2.5,0.25,1.5,138.75,30.5,1.0,1.0,19.0,301.5,237.5,64.0,1.75,0.0,4.0,0.0,2.0,0.0,3.0,31.2,29.8,23.4,386.6,198.2,19.0,30.8,2.0,0.8,1.4,188.4,34.4,1.6,1.2,24.4,383.4,296.4,87.0,2.4,0.0,4.0,0.0,3.0,0.0,4.0,1,38.0,7.0,-3.0,1,50.0,0
2020,6,6,0,0,0,0,7,7,1,Cleveland Browns,Pittsburgh Steelers,0.8,1.0,31.2,29.8,23.4,386.6,198.2,19.0,30.8,2.0,0.8,1.4,188.4,34.4,1.6,1.2,24.4,383.4,296.4,87.0,2.4,0.0,4.0,0.0,3.0,0.0,4.0,29.5,21.75,22.0,378.25,239.5,25.0,35.75,2.5,0.25,1.5,138.75,30.5,1.0,1.0,19.0,301.5,237.5,64.0,1.75,0.0,4.0,0.0,2.0,0.0,3.0,0,7.0,38.0,3.0,0,50.0,0
2020,6,6,0,0,0,0,7,7,1,Baltimore Ravens,Philadelphia Eagles,0.8,0.3,29.8,15.2,19.4,339.6,178.8,17.6,27.6,1.8,0.6,2.4,160.8,28.8,1.0,1.0,20.6,335.0,243.0,92.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,22.6,29.0,21.8,322.4,214.4,23.6,39.2,1.2,1.8,3.8,108.0,24.6,1.2,2.2,24.4,355.2,241.0,114.2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,30.0,28.0,-10.5,0,46.5,1
2020,6,6,0,0,0,0,7,7,1,Cincinnati Bengals,Indianapolis Colts,0.3,0.6,20.4,25.2,22.6,332.4,229.8,27.0,41.4,1.2,0.6,4.4,102.6,26.4,0.6,1.4,22.2,387.6,228.6,159.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,25.2,17.6,21.0,349.8,244.0,22.2,31.6,0.8,1.0,1.0,105.8,29.8,0.8,1.0,16.4,266.0,179.6,86.4,1.8,1.0,0.0,1.0,0.0,0.0,1.0,0,27.0,31.0,7.5,1,46.0,1
2020,6,6,1,1,0,0,8,6,1,Kansas City Chiefs,Buffalo Bills,0.8,0.8,29.8,22.0,24.0,407.2,287.8,24.6,38.6,2.6,0.2,1.2,119.4,26.4,0.8,0.6,21.6,382.8,225.2,157.6,1.6,1.0,0.0,1.0,0.0,0.0,1.0,27.8,28.4,24.2,401.8,308.0,26.8,38.8,2.8,0.6,2.0,93.8,24.4,0.8,1.6,24.0,371.8,263.2,108.6,1.2,1.0,0.0,1.0,0.0,0.0,1.0,1,26.0,17.0,-5.5,1,55.0,0
2020,6,5,0,0,1,1,17,13,1,Denver Broncos,New England Patriots,0.25,0.5,20.5,24.5,19.0,306.75,214.25,21.25,35.5,1.5,1.5,3.25,92.5,24.5,0.75,2.0,20.0,365.25,256.25,109.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,24.25,23.0,26.0,396.0,216.25,20.5,32.0,0.75,1.25,1.75,179.75,35.0,1.75,1.75,20.75,349.0,233.75,115.25,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1,18.0,12.0,7.0,1,43.5,0
2020,6,6,0,0,0,0,7,7,0,New York Giants,Washington Football Team,0.0,0.2,16.2,26.6,18.8,282.4,203.4,22.2,36.4,0.4,1.0,3.2,79.0,21.0,0.6,1.8,21.8,343.0,232.4,110.6,1.2,5.0,0.0,0.0,2.0,0.0,1.0,17.8,28.4,18.0,263.0,181.6,21.4,35.2,0.8,0.6,4.2,81.4,23.4,1.4,1.6,19.6,356.4,226.8,129.6,1.4,4.0,0.0,1.0,0.0,1.0,0.0,1,20.0,19.0,-2.0,0,42.5,0
