season,week,game,day,time,tm_off_bye,opp_off_bye,tm_btwn_gms,opp_btwn_gms,h_or_a,team,opp,tm_winning%,opp_winning%,tm_off_score_avg,tm_def_score_avg,tm_off_1stdwn_avg,tm_off_totyd_avg,tm_off_passy_avg,tm_cmp_avg,tm_pass_att_avg,tm_pass_td_avg,tm_pass_int_avg,tm_sacked_avg,tm_off_rushy_avg,tm_rush_att_avg,tm_rush_td_avg,tm_off_to_avg,tm_def_1std_avg,tm_def_totyd_avg,tm_def_passy_avg,tm_def_rushy_avg,tm_def_to_avg,tm_losing_streak,tm_winning_streak,tm_not_cover_streak,tm_cover_streak,tm_under_streak,tm_over_streak,opp_off_score_avg,opp_def_score_avg,opp_off_1stdwn_avg,opp_off_totyd_avg,opp_off_passy_avg,opp_cmp_avg,opp_pass_att_avg,opp_pass_td_avg,opp_pass_int_avg,opp_sacked_avg,opp_off_rushy_avg,opp_rush_att_avg,opp_rush_td_avg,opp_off_to_avg,opp_def_1std_avg,opp_def_totyd_avg,opp_def_passy_avg,opp_def_rushy_avg,opp_def_to_avg,opp_losing_streak,opp_winning_streak,opp_not_cover_streak,opp_cover_streak,opp_under_streak,opp_over_streak,result,team_score,opp_score,spread,spread_outcome,over/under,ou_result
2020,3,3,0,0,0,0,7,7,0,Buffalo Bills,Los Angeles Rams,1.0,1.0,29.0,22.5,27.0,463.5,358.5,28.5,40.5,3.0,0.0,2.0,105.0,27.5,0.5,1.5,21.5,332.0,256.5,75.5,1.0,0.0,2.0,1.0,0.0,0.0,2.0,28.5,18.0,26.5,435.5,263.5,20.0,29.0,1.5,0.5,1.0,172.0,39.5,2.0,1.0,24.5,371.5,243.0,128.5,1.5,0.0,2.0,0.0,2.0,0.0,1.0,1,35.0,32.0,-1.5,1,46.5,1
2020,3,3,4,2,0,0,4,4,1,Miami Dolphins,Jacksonville Jaguars,0.0,0.5,19.5,26.0,24.0,339.5,246.5,25.5,38.5,1.0,1.5,2.0,93.0,24.5,1.0,1.5,26.0,440.0,275.5,164.5,1.0,2.0,0.0,0.0,1.0,0.0,1.0,28.5,26.5,23.5,360.5,232.5,24.5,32.5,3.0,1.0,3.0,128.0,25.0,0.5,1.0,25.0,399.5,294.0,105.5,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1,31.0,13.0,2.5,1,49.5,0
2020,3,3,0,0,0,0,7,6,0,New England Patriots,Las Vegas Raiders,0.5,1.0,25.5,23.0,29.0,410.5,268.5,22.5,31.5,0.5,0.5,1.5,142.0,33.5,2.5,1.0,21.0,349.0,228.5,120.5,2.0,1.0,0.0,1.0,0.0,0.0,1.0,34.0,27.0,25.5,374.5,250.0,25.0,34.0,2.0,0.0,1.5,124.5,33.0,2.0,0.5,24.0,406.0,285.5,120.5,0.5,0.0,2.0,0.0,2.0,0.0,2.0,1,36.0,20.0,-7.0,1,47.0,1
2020,3,3,0,1,0,0,7,7,1,New York Jets,Indianapolis Colts,0.0,0.5,15.0,29.0,16.0,265.5,187.5,21.0,33.5,1.0,0.5,2.0,78.0,22.0,0.5,1.0,24.0,381.5,241.5,140.0,1.5,2.0,0.0,2.0,0.0,0.0,2.0,24.0,19.0,25.5,399.5,280.0,27.5,35.5,1.0,1.5,1.5,119.5,31.0,1.0,1.5,14.5,208.0,122.5,85.5,1.5,0.0,1.0,0.0,1.0,1.0,0.0,0,7.0,36.0,12.5,0,44.0,0
2020,3,3,0,1,0,0,7,7,0,Indianapolis Colts,New York Jets,0.5,0.0,24.0,19.0,25.5,399.5,280.0,27.5,35.5,1.0,1.5,1.5,119.5,31.0,1.0,1.5,14.5,208.0,122.5,85.5,1.5,0.0,1.0,0.0,1.0,1.0,0.0,15.0,29.0,16.0,265.5,187.5,21.0,33.5,1.0,0.5,2.0,78.0,22.0,0.5,1.0,24.0,381.5,241.5,140.0,1.5,2.0,0.0,2.0,0.0,0.0,2.0,1,36.0,7.0,-12.5,1,44.0,0
2020,3,3,0,0,0,0,7,7,1,Tennessee Titans,Minnesota Vikings,1.0,0.0,24.5,22.0,24.5,365.5,239.0,23.5,33.5,3.0,0.0,1.0,126.5,34.0,0.0,0.0,24.5,401.5,265.5,136.0,1.5,0.0,2.0,2.0,0.0,0.0,1.0,22.5,35.5,18.5,278.5,171.5,15.0,25.5,1.0,2.0,2.5,107.0,20.0,1.5,2.0,27.5,438.0,283.5,154.5,0.5,2.0,0.0,2.0,0.0,1.0,0.0,1,31.0,30.0,-3.0,0,49.5,1
2020,3,3,0,0,0,0,7,7,1,Houston Texans,Pittsburgh Steelers,0.0,1.0,18.0,33.5,19.5,332.0,247.5,22.5,34.0,1.0,1.0,4.0,84.5,19.5,1.0,1.5,25.5,388.0,190.0,198.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,26.0,18.5,19.0,379.5,254.5,25.0,36.5,2.5,0.5,1.5,125.0,26.0,0.5,1.5,21.5,305.0,238.5,66.5,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0,21.0,28.0,3.5,0,46.5,1
2020,3,3,4,2,0,0,4,4,0,Jacksonville Jaguars,Miami Dolphins,0.5,0.0,28.5,26.5,23.5,360.5,232.5,24.5,32.5,3.0,1.0,3.0,128.0,25.0,0.5,1.0,25.0,399.5,294.0,105.5,1.0,1.0,0.0,0.0,2.0,0.0,2.0,19.5,26.0,24.0,339.5,246.5,25.5,38.5,1.0,1.5,2.0,93.0,24.5,1.0,1.5,26.0,440.0,275.5,164.5,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0,13.0,31.0,-2.5,0,49.5,0
2020,3,3,0,0,0,0,7,7,0,Pittsburgh Steelers,Houston Texans,1.0,0.0,26.0,18.5,19.0,379.5,254.5,25.0,36.5,2.5,0.5,1.5,125.0,26.0,0.5,1.5,21.5,305.0,238.5,66.5,2.0,0.0,2.0,1.0,0.0,0.0,1.0,18.0,33.5,19.5,332.0,247.5,22.5,34.0,1.0,1.0,4.0,84.5,19.5,1.0,1.5,25.5,388.0,190.0,198.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1,28.0,21.0,-3.5,1,46.5,1
2020,3,3,0,0,0,0,10,7,0,Cleveland Browns,Washington Football Team,0.5,0.5,20.5,34.0,21.5,370.0,193.5,18.5,31.0,1.5,1.0,1.0,176.5,31.0,1.5,2.0,26.5,367.0,277.5,89.5,1.0,0.0,1.0,2.0,0.0,0.0,1.0,21.0,23.5,18.5,277.5,179.0,18.0,32.0,1.0,0.0,3.5,98.5,29.5,1.5,1.0,20.5,351.5,243.0,108.5,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1,34.0,20.0,-7.5,1,45.0,1
