season,week,game,day,time,tm_off_bye,opp_off_bye,tm_btwn_gms,opp_btwn_gms,h_or_a,team,opp,tm_winning%,opp_winning%,tm_off_score_avg,tm_def_score_avg,tm_off_1stdwn_avg,tm_off_totyd_avg,tm_off_passy_avg,tm_cmp_avg,tm_pass_att_avg,tm_pass_td_avg,tm_pass_int_avg,tm_sacked_avg,tm_off_rushy_avg,tm_rush_att_avg,tm_rush_td_avg,tm_off_to_avg,tm_def_1std_avg,tm_def_totyd_avg,tm_def_passy_avg,tm_def_rushy_avg,tm_def_to_avg,tm_losing_streak,tm_winning_streak,tm_not_cover_streak,tm_cover_streak,tm_under_streak,tm_over_streak,opp_off_score_avg,opp_def_score_avg,opp_off_1stdwn_avg,opp_off_totyd_avg,opp_off_passy_avg,opp_cmp_avg,opp_pass_att_avg,opp_pass_td_avg,opp_pass_int_avg,opp_sacked_avg,opp_off_rushy_avg,opp_rush_att_avg,opp_rush_td_avg,opp_off_to_avg,opp_def_1std_avg,opp_def_totyd_avg,opp_def_passy_avg,opp_def_rushy_avg,opp_def_to_avg,opp_losing_streak,opp_winning_streak,opp_not_cover_streak,opp_cover_streak,opp_under_streak,opp_over_streak,result,team_score,opp_score,spread,spread_outcome,over/under,ou_result
2020,2,2,0,0,0,0,7,7,1,Buffalo Bills,Miami Dolphins,1,0,27,17,31,404,306,33,46,2,0,3,98,32,1,2,15,254,202,52,2,0,1,0,1,0,1,11,21,20,269,182,20,30,0,3,1,87,27,1,3,29,357,140,217,1,1,0,1,0,1,0,1,31,28,-5.5,0,42.5,1
2020,2,2,0,0,0,0,7,7,0,Miami Dolphins,Buffalo Bills,0,1,11,21,20,269,182,20,30,0,3,1,87,27,1,3,29,357,140,217,1,1,0,1,0,1,0,27,17,31,404,306,33,46,2,0,3,98,32,1,2,15,254,202,52,2,0,1,0,1,0,1,0,28,31,5.5,1,42.5,1
2020,2,2,0,2,0,0,7,7,1,New England Patriots,Seattle Seahawks,1,1,21,11,29,357,140,15,19,0,0,2,217,42,3,1,20,269,182,87,3,0,1,0,1,1,0,38,25,22,383,299,31,35,4,0,3,84,20,1,0,28,506,434,72,2,0,1,0,1,0,1,0,30,35,4,0,45,1
2020,2,2,0,0,0,0,7,7,0,New York Jets,San Francisco 49ers,0,0,17,27,15,254,202,21,35,1,1,3,52,15,1,2,31,404,306,98,2,1,0,1,0,0,1,20,24,18,366,243,19,33,2,0,3,123,25,0,0,29,404,224,180,1,1,0,1,0,1,0,0,13,31,7,0,41.5,1
2020,2,2,0,0,0,0,7,7,0,Indianapolis Colts,Minnesota Vikings,0,0,20,27,27,445,357,36,46,1,2,1,88,22,1,2,17,241,150,91,0,1,0,1,0,0,1,34,43,25,382,248,19,25,2,1,2,134,22,2,1,31,522,364,158,0,1,0,1,0,0,1,1,28,11,-3.5,1,49,0
2020,2,2,0,0,0,0,6,7,0,Tennessee Titans,Jacksonville Jaguars,1,1,16,14,26,377,247,29,43,2,0,1,130,34,0,0,19,323,216,107,1,0,1,1,0,1,0,27,20,17,241,150,19,20,3,0,4,91,23,0,0,27,445,357,88,2,0,1,0,1,0,1,1,33,30,-7,0,44.5,1
2020,2,2,0,1,0,0,10,7,0,Houston Texans,Baltimore Ravens,0,1,20,34,21,360,242,20,32,1,1,4,118,22,2,1,28,369,203,166,0,1,0,1,0,0,1,38,6,23,381,270,21,26,3,0,2,111,30,2,1,20,306,168,138,3,0,1,0,1,1,0,0,16,33,7.5,0,49.5,0
2020,2,2,0,0,0,0,7,6,1,Jacksonville Jaguars,Tennessee Titans,1,1,27,20,17,241,150,19,20,3,0,4,91,23,0,0,27,445,357,88,2,0,1,0,1,0,1,16,14,26,377,247,29,43,2,0,1,130,34,0,0,19,323,216,107,1,0,1,1,0,1,0,0,30,33,7,1,44.5,1
2020,2,2,0,0,0,0,6,6,0,Pittsburgh Steelers,Denver Broncos,1,0,26,16,19,349,208,21,32,3,0,2,141,30,0,1,20,291,262,29,2,0,1,0,1,1,0,14,16,19,323,216,22,33,1,0,0,107,26,1,1,26,377,247,130,0,1,0,0,1,1,0,1,26,21,-6,0,41,1
2020,2,2,4,2,0,0,4,4,0,Cleveland Browns,Cincinnati Bengals,0,0,6,38,20,306,168,21,39,1,1,2,138,27,0,3,23,381,270,111,1,1,0,1,0,1,0,13,16,19,295,173,23,36,0,1,3,122,28,1,2,19,362,207,155,0,1,0,1,0,1,0,1,35,30,-6,0,44.5,1
