season,week,game,day,time,tm_off_bye,opp_off_bye,tm_btwn_gms,opp_btwn_gms,h_or_a,team,opp,tm_winning%,opp_winning%,tm_off_score_avg,tm_def_score_avg,tm_off_1stdwn_avg,tm_off_totyd_avg,tm_off_passy_avg,tm_cmp_avg,tm_pass_att_avg,tm_pass_td_avg,tm_pass_int_avg,tm_sacked_avg,tm_off_rushy_avg,tm_rush_att_avg,tm_rush_td_avg,tm_off_to_avg,tm_def_1std_avg,tm_def_totyd_avg,tm_def_passy_avg,tm_def_rushy_avg,tm_def_to_avg,tm_losing_streak,tm_winning_streak,tm_not_cover_streak,tm_cover_streak,tm_under_streak,tm_over_streak,opp_off_score_avg,opp_def_score_avg,opp_off_1stdwn_avg,opp_off_totyd_avg,opp_off_passy_avg,opp_cmp_avg,opp_pass_att_avg,opp_pass_td_avg,opp_pass_int_avg,opp_sacked_avg,opp_off_rushy_avg,opp_rush_att_avg,opp_rush_td_avg,opp_off_to_avg,opp_def_1std_avg,opp_def_totyd_avg,opp_def_passy_avg,opp_def_rushy_avg,opp_def_to_avg,opp_losing_streak,opp_winning_streak,opp_not_cover_streak,opp_cover_streak,opp_under_streak,opp_over_streak,result,team_score,opp_score,spread,spread_outcome,over/under,ou_result
2020,12,11,0,0,1,0,14,7,0,Buffalo Bills,Los Angeles Chargers,0.7,0.3,27.2,26.5,23.8,376.5,278.9,25.3,37.0,2.2,0.7,2.0,97.6,24.7,0.9,1.3,23.2,373.7,238.7,135.0,1.6,1.0,0.0,0.0,2.0,0.0,3.0,26.0,27.3,23.7,400.9,279.6,25.5,38.2,2.2,0.6,2.1,121.3,31.7,0.7,1.2,19.2,344.0,228.7,115.3,0.9,0.0,1.0,4.0,0.0,0.0,7.0,1,27.0,17.0,-4.5,1,51.5,0
2020,12,11,0,0,0,0,7,7,1,Miami Dolphins,New York Jets,0.6,0.0,26.4,20.2,20.2,308.6,214.2,21.0,31.2,1.6,0.8,2.0,94.4,26.4,0.9,1.1,22.7,380.6,246.4,134.2,1.7,1.0,0.0,1.0,0.0,1.0,0.0,14.9,30.2,16.7,268.6,170.0,18.6,32.5,0.9,0.9,2.7,98.6,23.6,0.5,1.1,24.5,400.0,288.3,111.7,1.1,10.0,0.0,0.0,2.0,0.0,2.0,1,20.0,3.0,-7.5,1,46.5,0
2020,12,11,0,0,0,0,7,10,0,New England Patriots,Arizona Cardinals,0.4,0.6,20.9,23.8,23.2,363.8,210.2,19.8,29.8,0.6,1.1,1.8,153.6,32.5,1.5,1.5,20.4,357.9,236.1,121.8,1.5,1.0,0.0,1.0,0.0,2.0,0.0,28.7,23.8,25.7,414.3,256.6,24.1,35.3,1.9,0.8,1.6,157.7,30.6,1.6,1.2,23.8,367.7,243.0,124.7,1.2,1.0,0.0,3.0,0.0,1.0,0.0,1,20.0,17.0,1.0,1,51.0,0
2020,12,11,0,0,0,0,7,7,0,New York Jets,Miami Dolphins,0.0,0.6,14.9,30.2,16.7,268.6,170.0,18.6,32.5,0.9,0.9,2.7,98.6,23.6,0.5,1.1,24.5,400.0,288.3,111.7,1.1,10.0,0.0,0.0,2.0,0.0,2.0,26.4,20.2,20.2,308.6,214.2,21.0,31.2,1.6,0.8,2.0,94.4,26.4,0.9,1.1,22.7,380.6,246.4,134.2,1.7,1.0,0.0,1.0,0.0,1.0,0.0,0,3.0,20.0,7.5,0,46.5,0
2020,12,11,0,0,0,0,7,7,0,Indianapolis Colts,Tennessee Titans,0.7,0.7,27.6,20.8,22.3,373.4,264.2,24.1,35.5,1.4,0.8,1.0,109.2,29.0,1.0,1.1,18.9,298.1,208.9,89.2,1.7,0.0,2.0,0.0,2.0,0.0,2.0,27.9,25.9,23.2,379.4,228.3,20.5,31.4,2.2,0.4,1.5,151.1,31.2,1.1,0.5,23.8,388.9,267.4,121.5,1.5,0.0,1.0,0.0,1.0,0.0,2.0,0,26.0,45.0,-3.0,0,51.5,1
2020,12,11,0,0,0,0,7,7,1,Tennessee Titans,Indianapolis Colts,0.7,0.7,27.9,25.9,23.2,379.4,228.3,20.5,31.4,2.2,0.4,1.5,151.1,31.2,1.1,0.5,23.8,388.9,267.4,121.5,1.5,0.0,1.0,0.0,1.0,0.0,2.0,27.6,20.8,22.3,373.4,264.2,24.1,35.5,1.4,0.8,1.0,109.2,29.0,1.0,1.1,18.9,298.1,208.9,89.2,1.7,0.0,2.0,0.0,2.0,0.0,2.0,1,45.0,26.0,3.0,1,51.5,1
2020,12,11,4,0,0,0,4,4,1,Houston Texans,Detroit Lions,0.3,0.4,22.7,27.2,19.7,358.9,274.3,23.3,33.9,2.0,0.5,2.6,84.6,22.0,0.6,0.9,23.9,411.7,252.4,159.3,0.5,0.0,1.0,0.0,2.0,2.0,0.0,22.7,28.7,21.1,342.9,247.5,22.4,35.7,1.8,0.8,2.7,95.4,23.7,0.7,1.0,25.3,397.4,258.4,139.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,41.0,25.0,-3.0,1,52.5,1
2020,12,11,0,0,0,0,7,7,0,Jacksonville Jaguars,Cleveland Browns,0.1,0.7,20.2,29.8,19.9,327.0,229.7,23.6,37.7,1.5,1.1,3.0,97.3,21.7,0.7,1.6,23.7,411.3,282.2,129.1,1.0,9.0,0.0,1.0,0.0,2.0,0.0,23.8,26.1,20.3,345.4,188.6,16.9,27.8,1.6,0.7,1.5,156.8,31.9,1.0,1.1,23.0,352.9,247.9,105.0,1.7,0.0,2.0,0.0,1.0,3.0,0.0,0,25.0,27.0,7.5,1,48.0,1
2020,12,11,3,1,0,0,10,10,0,Pittsburgh Steelers,Baltimore Ravens,1.0,0.6,29.8,17.4,21.3,347.8,245.6,25.8,38.4,2.4,0.5,1.0,102.2,26.5,1.0,0.9,17.7,306.9,203.5,103.4,2.1,0.0,10.0,0.0,2.0,1.0,0.0,26.8,19.5,19.8,343.9,183.4,17.7,27.9,1.5,0.7,2.4,160.5,32.7,1.1,1.2,21.2,333.0,217.0,116.0,1.5,2.0,0.0,2.0,0.0,0.0,1.0,1,19.0,14.0,-10.0,0,42.0,0
2020,12,11,0,0,0,0,7,7,1,Cleveland Browns,Jacksonville Jaguars,0.7,0.1,23.8,26.1,20.3,345.4,188.6,16.9,27.8,1.6,0.7,1.5,156.8,31.9,1.0,1.1,23.0,352.9,247.9,105.0,1.7,0.0,2.0,0.0,1.0,3.0,0.0,20.2,29.8,19.9,327.0,229.7,23.6,37.7,1.5,1.1,3.0,97.3,21.7,0.7,1.6,23.7,411.3,282.2,129.1,1.0,9.0,0.0,1.0,0.0,2.0,0.0,1,27.0,25.0,-7.5,0,48.0,1
2020,12,11,3,1,0,0,10,10,1,Baltimore Ravens,Pittsburgh Steelers,0.6,1.0,26.8,19.5,19.8,343.9,183.4,17.7,27.9,1.5,0.7,2.4,160.5,32.7,1.1,1.2,21.2,333.0,217.0,116.0,1.5,2.0,0.0,2.0,0.0,0.0,1.0,29.8,17.4,21.3,347.8,245.6,25.8,38.4,2.4,0.5,1.0,102.2,26.5,1.0,0.9,17.7,306.9,203.5,103.4,2.1,0.0,10.0,0.0,2.0,1.0,0.0,0,14.0,19.0,10.0,1,42.0,0
2020,12,11,0,0,0,1,7,14,0,Cincinnati Bengals,New York Giants,0.25,0.3,21.3,27.0,22.7,349.1,247.2,26.8,41.5,1.3,0.6,3.6,101.9,25.6,0.9,1.4,22.6,390.9,254.7,136.2,1.0,2.0,0.0,2.0,0.0,1.0,0.0,19.5,23.6,19.5,306.6,196.1,21.3,33.5,0.8,0.9,3.1,110.5,24.8,0.9,1.5,22.4,358.6,257.7,100.9,1.5,0.0,2.0,0.0,4.0,2.0,0.0,0,17.0,19.0,6.5,1,45.0,0
2020,12,11,0,1,0,0,7,6,1,Kansas City Chiefs,Tampa Bay Buccaneers,0.9,0.636,32.1,21.4,24.9,414.1,300.4,26.1,38.2,2.7,0.2,1.3,113.7,25.8,1.0,0.7,22.0,355.1,221.6,133.5,1.5,0.0,5.0,2.0,0.0,0.0,2.0,29.09090909090909,23.0,22.0,357.8181818181818,259.54545454545456,25.45454545454545,39.45454545454545,2.272727272727273,0.8181818181818182,1.3636363636363635,98.27272727272728,24.0,1.0,1.2727272727272727,18.727272727272727,310.54545454545456,237.54545454545453,73.0,1.7272727272727273,1.0,0.0,1.0,0.0,0.0,2.0,1,27.0,24.0,-3.5,0,56.0,0
2020,12,11,0,1,0,0,7,7,0,Denver Broncos,New Orleans Saints,0.4,0.8,20.6,26.7,19.4,346.5,231.7,21.1,37.2,1.2,1.7,2.3,114.8,25.8,0.9,2.3,20.0,346.3,224.8,121.5,1.0,0.0,1.0,0.0,1.0,2.0,0.0,29.5,22.2,23.4,373.4,248.1,24.8,33.7,1.8,0.3,1.6,125.3,30.2,1.5,1.0,19.6,302.2,227.9,74.3,1.5,0.0,7.0,0.0,3.0,3.0,0.0,0,3.0,31.0,17.0,0,36.5,0
